Debiteurnummer,Account,Adres + nr,nummer,toevoeging,Postcode,Plaats,Stadsdeel,,,,,,,,,,Sector
000121,De Olifant cigar factory,Voorstraat 100-108,100,,8261HV,Kampen,Kampen,,,,,,,,,,
000122,Brew Taste,Balistraat 134B,134,B,1094JW,Amsterdam,020-Oost,,,,,,,,,,2
000123,Razmataz,Hugo de Grootplein 7,7,,1052KV,Amsterdam,020-West,,,,,,,,,,4
000124,De Eenhoorn,Oudestraat 101,101,,8261CJ,Kampen,Kampen,,,,,,,,,,
000126,KOKO Coffee&Design,Oudezijds Achterburgwal 145,145,,1012DG,Amsterdam,020-Centrum,,,,,,,,,,5
000128,De Kweker B.V.,Hornweg 60,60,,1044AN,Amsterdam,020-Westpoort,,,,,,,,,,4
000129,Van Wees Holland BV,Argonweg 8a,8,A,3812RB,Amersfoort,Amersfoort,,,,,,,,,,
000131,Nederlandse Bartender Club,Weeresteinstraat 221,221,,2182GW,Hillegom,Hillegom,,,,,,,,,,
000132,Hanny Horeca Exploitatie B.V.,Leidseplein 6,6,,1017PT,Amsterdam,020-Centrum-Zuid,,11:30,,,Lossen voor 12:00 op Leidesplein > Reynders,,,,,3
000133,Centraal Beheer,Postbus 700,700,,7300HC,Apeldoorn,Apeldoorn,,,,,,,,,,
000134,Makro,Hoefsmod 10,10,,2292JJ,Wateringen,Wateringen,,,,,,,,,,
000135,TRIPLE C,De Boelelaan 591-593,591,,1082RM,Amsterdam,020-Zuid,,,,,,,,,,3
000138,Mr. Mofongo,Oude Boteringestraat 26,26,,9712GJ,Groningen,Groningen,,,,,,,,,,
000139,The Hospitality Group,Jacob van Lennepstraat 271,271,,1053LG,Amsterdam,020-West,,,,,,,,,,4
000140,Cocktail Brigade,Lijnmarkt 37a,37,A,3511KG,Utrecht,Utrecht,,,,,,,,,,
000141,Moos,Portsmuiden 39,39,,1046AH,Amsterdam,020-Westpoort,,,,,,,,,,4
000143,Partners in Wijn,Kazernestraat 112,112,,2514CW,Den Haag,Den Haag,,,,,,,,,,
000144,En Pluche B.V.,Ruysdaelstraat 48,48,,1071XE,Amsterdam,020-Zuid,,,,,,,,,,3
000145,Marloes Krijnen,Waldeck Piermontlaan 12B,12,B,1075BW,Amsterdam,020-Zuid,,,,,,,,,,3
000146,Bar Brouw B.V.,Ten Katestraat 16,16,,1053CE,Amsterdam,020-West,,,,,,,,,,4
000147,MXM events,Soendastraat 23,23,,1521AV,Wormerveer,Wormerveer,,,,,,,,,,
000148,Stigros,Dhr. J. Stiphout,,,5652CH,Eindhoven,Eindhoven,,,,,,,,,,
000149,APS Glass & Bar Supply B.V.,Veemarkt 27,27,,1019DA,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
000150,Stately Plump Spirits,Koestraat 24,24,,1012BX,Amsterdam,020-Centrum,,,,,,,,,,5
000151,Sterk Amsterdam,De Clercqstraat 1-9,1,9,1053AA,Amsterdam,020-West,,,,,,,,,,4
000152,Laurence Bartending & Cocktails,Koggestraat 9 L,9,L,1012TA,Amsterdam,020-Centrum,,,,,,,,,,5
000154,Chapter 21,Jonge Roelensteeg 21,21,,1012PL,Amsterdam,020-Centrum,,,,,,,,,,5
000156,Ruthje,Kerkstraat 15b,15,B,2611GX,Delft,Delft,,,,,,,,,,
000157,Drink Mate,De Hallen 6,6,,9723TW,Groningen,Groningen,,,,,,,,,,
000160,Wine in Tubes,Galgeveld 1,1,,3705MB,Zeist,Zeist,,,,,,,,,,
000161,Mallens-Markhorst,Moergestelseweg 34-c,34,C,5062JW,Oisterwijk,Oisterwijk,,,,,,,,,,
000165,Brewboys Bar,Zeeburgerstraat 1,1,,1018AG,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
000166,Teazone,Koestraat 9,9,,6211HR,Maastricht,Maastricht,,,,,,,,,,
000168,Herman Jansen Beverages Nederland B.V.,Zijlstraat 56,56,,3111PS,Schiedam,Schiedam,,,,,,,,,,
000169,Mossel&Gin,Gosschalklaan 12,12,,1014DC,Amsterdam,020-West,,13:00,✔️,✔️,Melden bij slagboom. Doorrijden naar Restaurant Voor 13:00,,,,,4
000171,HANOS Eindhoven,Hurksestraat 19a,19,,5652AH,Eindhoven,Eindhoven,,,,,,,,,,
000172,Pompstation,Zeeburgerdijk 52,52,,1094AE,Amsterdam,020-Oost,,,,,,,,,,2
000173,Park Brouw B.V.,Beukenplein 17-h,17,H,1092BA,Amsterdam,020-Oost,,,,,,,,,,2
000174,The Beer Tree,Jacob van Lennepstraat 347 3,347,3,1053JL,Amsterdam,020-West,,,,,,,,,,4
000175,Maxxium Nederland,De Cuserstraat 89,89,,1081CN,Amsterdam,020-Zuid,,,,,,,,,,3
000176,Ibiza Lounge Club,Lange Leidsedwarsstraat 41,41,,1017NG,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000179,Jopenkerk,Gedempte Voldersgracht 2,2,,2011WB,Haarlem,Haarlem,,,,,,,,,,
000180,Branding Beach Club,Koningin Astrid Boulevard 105,105,,2202BD,Noordwijk,Noordwijk,,,,,,,,,,
000182,Walter's Bar,Javastraat 42,42,,1094HJ,Amsterdam,020-Oost,,,,,,,,,,2
000183,Hanos Breda,Kalshoven 25,25,,4825AL,Breda,Breda,,,,,,,,,,
000184,Le Voyeur,Oud Loosdrechtsedijk 243,243,,1231NH,Loosdrecht,Loosdrecht,,,,,,,,,,
000185,HANOS Distributiecentrum,Prinsenweide 69,69,,7317BC,Apeldoorn,Apeldoorn,,,,,,,,,,
000186,Greencorner B.V.,Leidseplein 8,8,,1017PT,Amsterdam,020-Centrum-Zuid,,11:30,,,Lossen voor 12:00 op Leidesplein > Hole in the Wall,,GC,,,3
000187,Snappers,Reguliersdwarsstraat 21,21,,1017BJ,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000188,Stelling,Overtoom 299,299,,1054HW,Amsterdam,020-West,,,,,,,,,,4
000189,Dorstlust BV,Nieuwe Hemweg 15A,15,A,1013BG,Amsterdam,020-West,,,,,Bedrijventerrein. Loods 15A,,,,,4
000190,VOF van Aerssen/Pardieck,De Lairessestraat 60,60,,1071PD,Amsterdam,020-Zuid,,,,,,,,,,3
000191,Perfect Serve Barshow,Eva Besnyostraat 621,621,,1087LM,Amsterdam,020-Oost,,,,,,,,,,2
000192,Herman Jansen,Zijstraat 2,2,,3111PS,Schiedam,Schiedam,,,,,,,,,,
000193,Carter Bar&Kitchen,Valeriusstraat 85-H,85,H,1071MG,Amsterdam,020-Zuid,,,✔️,✔️,"Code + sleutel - INSTRUCTIE VIDEO IN DISCORD, DELIVERY INSTRUCTIONS MOVIES&PICTURES",,,,,3
000194,Club Red,Ruiterskwartier 91,91,,8911BR,Leeuwarden,Leeuwarden,,,,,,,,,,
000196,Osborne Clarke N.V.,IJdok 29,29,,1013MM,Amsterdam,020-West,,,,,,,,,,4
000200,Bar Restaurant Level,Pannekoekstraat 76-A,76,A,3011LK,Rotterdam,Rotterdam,,,,,,,,,,
000201,Blender,Schiedamse Vest 91,91,,3012BG,Rotterdam,Rotterdam,,,,,,,,,,
000202,Drankengroothandel Henk Smit,Ankerweg 2,2,,1041AT,Amsterdam,020-Westpoort,,,,,Melden bij het hek - Aanbellen,,,,,4
000203,Three Martini Lunch,Bocholtstraat 116,116,,1066MK,Amsterdam,020-Nieuw-West,,,,,,,,,,4
000204,Phileas Fogg Wines,Suezkade 82,82,,2517BX,Den Haag,Den Haag,,,,,,,,,,
000205,The Dog's Bollocks,Oude Boteringestraat 17,17,,9712GC,Groningen,Groningen,,,,,,,,,,
000206,Gouden Ton Amsterdam,Willemsparkweg 158,158,,1071HS,Amsterdam,020-Zuid,,,,,,,,,,3
000209,Oolong,Ferdinand Bolstraat 13-15,13,,1072LA,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
